
0	270265	17502
1	535941	17640
2	374377	17628
3	122078	17629
4	51024	17839
5	74955	17554
6	53975	17488
7	16030	17734
8	14857	17720
9	20577	17501
10	9922	17710
11	3676	17536
12	7664	17827
13	6506	17680
14	1915	17599
15	2602	17692
16	3934	17769
17	1823	17564
18	852	17640
19	1987	17617
20	1715	17869
21	462	17674
22	782	17711
23	1409	17572
24	680	17738
25	315	17367
26	797	17542
27	794	17637
28	267	17751
29	361	17665
30	644	17443
31	421	17797
32	171	17724
33	356	17555
34	513	17824
35	283	17665
36	160	17835
37	298	17426
38	404	17595
39	171	17653
40	88	17689
41	238	17633
42	263	17739
43	144	17617
44	78	17875
45	174	17598
46	252	17518
47	138	17550
48	80	17545
49	77	17421
50	179	17864
51	139	17841
52	19	17517
53	21	17379
54	25	17555
55	39	17931
56	27	17898
57	22	17539
58	31	17528
59	27	17669
60	28	17604
61	24	17625
62	27	17692
63	34	17702
64	24	17400
65	30	17651
66	22	17424
67	20	17743
68	34	17693
69	26	17835
70	27	17621
71	25	17723
72	21	17405
73	19	17682
74	31	17708
75	21	17737
76	26	17828
77	38	17456
78	20	17584
79	29	17785
80	25	17714
81	24	17554
82	28	17868
83	38	17705
84	32	17702
85	36	17553
86	39	17811
87	27	17576
88	25	17914
89	30	17741

