
0	454966	19693
1	357044	20166
2	157285	19883
3	298693	19949
4	111306	20000
5	128293	19981
6	66974	20221
7	50852	20459
8	39766	19987
9	21169	19952
10	24629	19948
11	10038	20237
12	15468	20037
13	5570	20150
14	9645	19833
15	3756	19925
16	5936	19895
17	3112	19996
18	3503	20091
19	2809	20197
20	1954	19700
21	2571	20053
22	1135	19752
23	2247	20255
24	806	20243
25	1922	20218
26	837	19926
27	1272	19913
28	975	20052
29	872	20003
30	1194	19784
31	598	19928
32	1167	20312
33	568	19955
34	973	20103
35	722	20093
36	657	20242
37	962	19944
38	539	20147
39	902	20101
40	657	19937
41	610	19940
42	784	19955
43	391	19804
44	646	19995
45	481	20131
46	240	19976
47	390	19964
48	166	20245
49	139	19995
50	184	19833
51	46	20023
52	50	19895
53	48	19890
54	52	20046
55	52	20014
56	77	20274
57	146	20003
58	165	19982
59	87	20160
60	135	19937
61	100	20071
62	39	19911
63	33	19968
64	38	20140
65	33	19999
66	30	20068
67	43	19903
68	25	19891
69	40	19951
70	44	20123
71	39	20194
72	39	19954
73	44	19942
74	38	20209
75	38	19927
76	51	19998
77	36	19951
78	38	19812
79	45	19930
80	38	20021
81	30	19947
82	40	20127
83	34	19671
84	52	19798
85	30	19761
86	27	19815
87	41	20004
88	55	20116
89	42	19890

