
0	103812	4603
1	81682	4455
2	35916	4625
3	67503	4477
4	25163	4544
5	29405	4539
6	15273	4595
7	11625	4662
8	9024	4636
9	4776	4525
10	5560	4622
11	2179	4486
12	3440	4555
13	1247	4555
14	2133	4607
15	853	4538
16	1352	4449
17	727	4656
18	811	4650
19	633	4565
20	418	4584
21	608	4501
22	260	4552
23	539	4624
24	170	4454
25	398	4636
26	182	4685
27	304	4541
28	245	4462
29	187	4596
30	283	4532
31	143	4466
32	244	4609
33	127	4492
34	252	4596
35	148	4632
36	168	4670
37	220	4533
38	143	4519
39	203	4555
40	142	4580
41	142	4621
42	164	4556
43	93	4489
44	144	4550
45	87	4620
46	67	4539
47	100	4485
48	47	4593
49	30	4522
50	41	4570
51	15	4581
52	14	4552
53	10	4687
54	10	4570
55	13	4443
56	17	4552
57	25	4511
58	37	4530
59	28	4489
60	27	4449
61	32	4586
62	6	4607
63	12	4433
64	9	4685
65	9	4662
66	10	4510
67	9	4473
68	15	4496
69	14	4499
70	9	4508
71	12	4514
72	11	4588
73	4	4429
74	9	4654
75	7	4557
76	10	4530
77	14	4455
78	8	4475
79	7	4551
80	9	4486
81	4	4582
82	9	4619
83	9	4645
84	9	4457
85	6	4487
86	9	4606
87	9	4512
88	6	4565
89	6	4649

